SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,AVAILABLE_FLAG,game_phase,comparable_name,season,possessions_estimate,net_rating_estimate,game_number,rolling_net_rating
2020-21,1610612751,BKN,Brooklyn Nets,22000345,2021-02-05,BKN vs. TOR,L,48.0,39,80,0.488,17,42,0.405,22,29,0.759,8,32,40,29,18.0,5,6,6,19,25,117,-6.0,1,49,49,49,5,57,61,37,15,11,34,15,12,52,40,55,54,28,61,50,19,50,37,4,36,57,1.0,regular,Brooklyn Nets 2020-21,2020-21,102.76,-5.838847800700661,24,1.6707119072603713
2020-21,1610612751,BKN,Brooklyn Nets,22000354,2021-02-06,BKN @ PHI,L,48.0,39,88,0.443,15,41,0.366,15,17,0.882,8,26,34,21,17.0,6,3,4,18,15,108,-16.0,1,49,49,49,5,57,32,58,28,15,44,49,53,12,40,67,70,58,52,33,57,29,26,56,60,67,1.0,regular,Brooklyn Nets 2020-21,2020-21,104.48,-15.313935681470136,25,-0.054405023924224416
2020-21,1610612751,BKN,Brooklyn Nets,22000375,2021-02-09,BKN @ DET,L,48.0,43,86,0.5,11,30,0.367,14,16,0.875,8,26,34,30,15.0,8,6,6,22,16,111,-11.0,1,49,49,49,5,34,40,29,54,59,43,55,60,18,40,67,70,19,40,22,19,50,54,51,52,62,1.0,regular,Brooklyn Nets 2020-21,2020-21,100.04,-10.995601759296282,26,-0.161245146908783
2020-21,1610612751,BKN,Brooklyn Nets,22000383,2021-02-10,BKN vs. IND,W,48.0,32,76,0.421,9,31,0.29,31,35,0.886,9,37,46,20,13.0,2,5,5,20,21,104,10.0,1,1,1,1,5,72,69,65,64,54,64,1,2,11,32,28,29,64,29,70,31,41,45,20,64,24,1.0,regular,Brooklyn Nets 2020-21,2020-21,95.4,10.482180293501047,27,2.0932455000529018
2020-21,1610612751,BKN,Brooklyn Nets,22000409,2021-02-13,BKN @ GSW,W,48.0,50,93,0.538,16,39,0.41,18,20,0.9,8,37,45,35,13.0,9,5,6,15,15,134,17.0,1,1,1,1,5,7,12,20,22,26,32,33,45,8,40,28,32,2,29,15,31,50,9,56,7,10,1.0,regular,Brooklyn Nets 2020-21,2020-21,106.8,15.917602996254681,28,3.2945333279876237
2020-21,1610612751,BKN,Brooklyn Nets,22000426,2021-02-15,BKN @ SAC,W,48.0,51,89,0.573,27,47,0.574,7,12,0.583,9,26,35,31,15.0,7,4,6,16,13,136,11.0,1,1,1,1,5,5,27,7,1,1,1,70,70,72,32,67,65,14,40,29,46,50,10,65,5,21,1.0,regular,Brooklyn Nets 2020-21,2020-21,100.28,10.969285999202235,29,3.060585597031517
2020-21,1610612751,BKN,Brooklyn Nets,22000433,2021-02-16,BKN @ PHX,W,48.0,47,82,0.573,20,40,0.5,14,15,0.933,4,33,37,28,10.0,4,4,3,11,15,128,4.0,1,1,1,1,5,15,56,6,3,23,8,55,64,5,65,45,61,32,13,58,46,14,2,56,15,39,1.0,regular,Brooklyn Nets 2020-21,2020-21,94.6,4.2283298097251585,30,3.1088867427980404
2020-21,1610612751,BKN,Brooklyn Nets,22000446,2021-02-18,BKN @ LAL,W,48.0,38,77,0.494,18,39,0.462,15,24,0.625,8,31,39,23,14.0,9,3,4,18,16,109,11.0,1,1,1,1,5,61,68,33,13,26,16,49,29,69,40,57,57,51,38,15,57,29,26,51,56,21,1.0,regular,Brooklyn Nets 2020-21,2020-21,93.56,11.75716117999145,31,2.248320002596519
2020-21,1610612751,BKN,Brooklyn Nets,22000472,2021-02-21,BKN @ LAC,W,48.0,44,92,0.478,11,38,0.289,13,19,0.684,9,31,40,21,6.0,10,4,4,19,17,112,4.0,1,1,1,1,5,25,15,45,54,28,65,60,47,64,32,57,54,58,3,9,46,29,37,47,50,39,1.0,regular,Brooklyn Nets 2020-21,2020-21,97.36,4.108463434675431,32,2.925785613749807
2020-21,1610612751,BKN,Brooklyn Nets,22000482,2021-02-23,BKN vs. SAC,W,48.0,44,89,0.494,17,40,0.425,22,31,0.71,10,31,41,30,8.0,8,5,7,16,17,127,9.0,1,1,1,1,5,25,27,30,15,23,25,15,7,61,23,57,49,19,6,22,31,61,10,47,19,25,1.0,regular,Brooklyn Nets 2020-21,2020-21,100.64,8.942766295707472,33,3.42574047675904
