held_out_season,comparable_name,x,y_actual,pred_bayes_loso,pred_fixed_current,beta_mu_fold,alpha_mu_fold
2012-13,CHA 2012-13,-42.22834228993679,-9.2,-7.311320237572506,-8.867951880886725,0.17305374260152195,-0.0035475604408200996
2012-13,CHI 2012-13,2.121492653104553,0.3,0.36358468308055514,0.4455134571519561,0.17305374260152195,-0.0035475604408200996
2012-13,CLE 2012-13,-31.012765957225227,-4.7,-5.370422777763717,-6.512680851017297,0.17305374260152195,-0.0035475604408200996
2012-13,DAL 2012-13,-3.050609439714137,-0.6,-0.5314669411988834,-0.6406279823399686,0.17305374260152195,-0.0035475604408200996
2012-13,DEN 2012-13,14.615157805948556,5.1,2.5256601965904255,3.069183139249197,0.17305374260152195,-0.0035475604408200996
2012-13,DET 2012-13,-27.15655515981997,-4.0,-4.7030910670123385,-5.702876583562193,0.17305374260152195,-0.0035475604408200996
2012-13,GSW 2012-13,-14.123131908545377,0.9,-2.4476083944695732,-2.965857700794529,0.17305374260152195,-0.0035475604408200996
2012-13,HOU 2012-13,6.971696237214914,3.5,1.2029305656901688,1.464056209815132,0.17305374260152195,-0.0035475604408200996
2012-13,IND 2012-13,6.594029541905158,4.0,1.1375739306108668,1.384746203800083,0.17305374260152195,-0.0035475604408200996
2012-13,LAC 2012-13,25.50864882512579,6.5,4.410819587455114,5.356816253276415,0.17305374260152195,-0.0035475604408200996
2012-13,LAL 2012-13,23.31086459577338,1.2,4.030484801135078,4.89528156511241,0.17305374260152195,-0.0035475604408200996
2012-13,MEM 2012-13,-6.67935423072332,4.1,-1.1594348082288002,-1.402664388451897,0.17305374260152195,-0.0035475604408200996
2012-13,MIA 2012-13,18.35597328888716,7.9,3.173022316294671,3.8547543906663035,0.17305374260152195,-0.0035475604408200996
2012-13,MIL 2012-13,8.102453077524771,-1.5,1.398612268878061,1.7015151462802018,0.17305374260152195,-0.0035475604408200996
2012-13,MIN 2012-13,6.855197390892371,-2.4,1.1827700043252931,1.439591452087398,0.17305374260152195,-0.0035475604408200996
2012-13,NOP 2012-13,-21.713100377501803,-3.9,-3.7610808442500265,-4.559751079275379,0.17305374260152195,-0.0035475604408200996
2012-13,NYK 2012-13,18.89042476907585,4.2,3.2655111451802465,3.9669892015059283,0.17305374260152195,-0.0035475604408200996
2012-13,OKC 2012-13,0.253871796029415,9.2,0.04038590400304037,0.05331307716617715,0.17305374260152195,-0.0035475604408200996
2012-13,ORL 2012-13,-10.83671006495598,-7.0,-1.8788807946690347,-2.275709113640756,0.17305374260152195,-0.0035475604408200996
2012-13,PHI 2012-13,5.85710016758074,-3.3,1.0100455443510283,1.2299910351919554,0.17305374260152195,-0.0035475604408200996
2012-13,PHX 2012-13,5.791213439583572,-6.5,0.9986435994833501,1.21615482231255,0.17305374260152195,-0.0035475604408200996
2012-13,POR 2012-13,-28.73571760740637,-3.2,-4.976371038742944,-6.0345006975553375,0.17305374260152195,-0.0035475604408200996
2012-13,SAC 2012-13,4.3627945459311945,-4.9,0.7514503639340807,0.9161868546455508,0.17305374260152195,-0.0035475604408200996
2012-13,SAS 2012-13,26.830838968778863,6.4,4.639629540245122,5.634476183443561,0.17305374260152195,-0.0035475604408200996
2012-13,TOR 2012-13,-5.714600827625333,-1.5,-0.9924806211351387,-1.2000661738013199,0.17305374260152195,-0.0035475604408200996
2012-13,UTA 2012-13,12.721746006636463,-0.1,2.197998198433586,2.671566661393657,0.17305374260152195,-0.0035475604408200996
2012-13,WAS 2012-13,-23.279226569472684,-2.5,-4.032104843156857,-4.888637579589264,0.17305374260152195,-0.0035475604408200996
2013-14,ATL 2013-14,-0.9441547767069096,-0.5,-0.16494748303670545,-0.19827250310845101,0.1698494146676972,-0.0045833468573265096
2013-14,BOS 2013-14,-22.35633106701617,-4.5,-3.801793092707278,-4.694829524073396,0.1698494146676972,-0.0045833468573265096
2013-14,BKN 2013-14,8.464624926051911,-1.0,1.4331282422141904,1.7775712344709014,0.1698494146676972,-0.0045833468573265096
2013-14,CHA 2013-14,-6.99696812713421,-0.2,-1.1930142876996055,-1.469363306698184,0.1698494146676972,-0.0045833468573265096
2013-14,CHI 2013-14,8.108465462592264,1.9,1.3726347658172082,1.7027777471443752,0.1698494146676972,-0.0045833468573265096
