player_a,player_b,usage_clash,playmaking_spacing_synergy,pair_weight,net_pair_score
Tyrese Maxey,Jabari Walker,0.0,39.927829162099215,0.20833333333333334,0.16636595484208008
LeBron James,Jabari Walker,0.0,37.94968287795101,0.20833333333333334,0.15812367865812924
Kentavious Caldwell-Pope,Justin Edwards,0.0,36.906131636556296,0.20833333333333334,0.15377554848565123
Anfernee Simons,Jabari Walker,0.0,34.68505048692263,0.20833333333333334,0.14452104369551094
Jaylen Brown,Anfernee Simons,23.011420654322134,72.92929848580948,0.4166666666666667,0.12833955708336786
Tyrese Maxey,Dominick Barlow,0.0,30.52231162141812,0.20833333333333334,0.1271762984225755
Dean Wade,Justin Edwards,0.0,29.929474365165795,0.20833333333333334,0.12470614318819083
Anfernee Simons,Dominick Barlow,0.0,29.712005061369805,0.20833333333333334,0.12380002108904087
Jaylen Brown,Jabari Walker,0.0,29.12812290208741,0.20833333333333334,0.12136717875869756
VJ Edgecombe,Jabari Walker,0.0,28.692424056874362,0.20833333333333334,0.11955176690364318
Joel Embiid,Jabari Walker,0.0,27.386369595203398,0.20833333333333334,0.11410987331334749
LeBron James,Dominick Barlow,0.0,24.349701770423763,0.20833333333333334,0.10145709071009902
Kentavious Caldwell-Pope,Jabari Walker,0.0,22.537827410267155,0.20833333333333334,0.09390761420944649
Justin Edwards,Jabari Walker,0.0,22.31889579906503,0.20833333333333334,0.09299539916277097
Jaylen Brown,Dominick Barlow,0.0,22.10768853566644,0.20833333333333334,0.09211536889861018
VJ Edgecombe,Dominick Barlow,0.0,21.87473895539634,0.20833333333333334,0.09114474564748475
Justin Edwards,Dominick Barlow,0.0,19.716333127983372,0.20833333333333334,0.08215138803326406
Joel Embiid,Dominick Barlow,0.0,19.10956598702623,0.20833333333333334,0.07962319161260929
Dean Wade,Jabari Walker,0.0,18.4472529998256,0.20833333333333334,0.07686355416594
Kentavious Caldwell-Pope,Dominick Barlow,0.0,17.861315694513237,0.20833333333333334,0.0744221487271385
Dean Wade,Dominick Barlow,0.0,16.917582796291637,0.20833333333333334,0.07048992831788183
Anfernee Simons,Adem Bona,0.0,10.634408829752788,0.25,0.05317204414876394
Dominick Barlow,Jabari Walker,0.0,11.947143840291544,0.20833333333333334,0.04977976600121477
Tyrese Maxey,Adem Bona,0.0,9.621765497363112,0.25,0.04810882748681556
Jaylen Brown,Adem Bona,0.0,6.906134976310312,0.25,0.034530674881551565
VJ Edgecombe,Adem Bona,0.0,6.872405081430663,0.25,0.034362025407153315
Dean Wade,Adem Bona,0.0,6.4497743166336345,0.25,0.03224887158316817
Adem Bona,Justin Edwards,0.0,7.2682422390203305,0.20833333333333334,0.030284342662584715
Kentavious Caldwell-Pope,Adem Bona,0.0,5.881418503975906,0.25,0.02940709251987953
LeBron James,Adem Bona,0.0,5.827647677436674,0.25,0.02913823838718337
Joel Embiid,Adem Bona,0.0,5.300034933233149,0.25,0.026500174666165745
Adem Bona,Jabari Walker,0.0,4.347951797085313,0.20833333333333334,0.018116465821188806
Adem Bona,Dominick Barlow,0.0,2.220299663135833,0.20833333333333334,0.009251248596399305
Anfernee Simons,Labaron Philon,0.0,0.0,0.20833333333333334,0.0
Adem Bona,Labaron Philon,0.0,0.0,0.20833333333333334,0.0
Justin Edwards,Labaron Philon,0.0,0.0,0.20833333333333334,0.0
Dominick Barlow,Labaron Philon,0.0,0.0,0.20833333333333334,0.0
Jabari Walker,Labaron Philon,0.0,0.0,0.20833333333333334,0.0
Dean Wade,Labaron Philon,0.0,0.0,0.20833333333333334,0.0
Kentavious Caldwell-Pope,Labaron Philon,0.0,0.0,0.20833333333333334,0.0
VJ Edgecombe,Labaron Philon,0.0,0.0,0.20833333333333334,0.0
Tyrese Maxey,Labaron Philon,0.0,0.0,0.20833333333333334,0.0
Joel Embiid,Labaron Philon,0.0,0.0,0.20833333333333334,0.0
Jaylen Brown,Labaron Philon,0.0,0.0,0.20833333333333334,0.0
LeBron James,Labaron Philon,0.0,0.0,0.20833333333333334,0.0
LeBron James,Jaylen Brown,28.055305987841727,67.66618722796967,0.5833333333333334,-0.028840906985737567
Joel Embiid,Anfernee Simons,31.39562220525998,68.1775926567596,0.4166666666666667,-0.08592885713658627
LeBron James,Joel Embiid,38.277245063607474,56.98671123656735,0.5416666666666666,-0.41931934874322274
Jaylen Brown,Tyrese Maxey,61.09679658507839,78.48171550510529,0.7083333333333334,-1.0520205760658683
Joel Embiid,Tyrese Maxey,83.35738902658568,70.539292987191,0.5416666666666666,-1.4934202787754596
Jaylen Brown,Joel Embiid,82.75715011579527,51.11679050394443,0.5416666666666666,-1.6875742518433905
