SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,AVAILABLE_FLAG,game_phase,comparable_name,season
2022-23,1610612756,PHX,Phoenix Suns,22200139,2022-11-05T00:00:00,PHX vs. POR,W,48.0,35,82,0.427,11,30,0.367,21,28,0.75,11,33,44,22,14.0,7,14,7,22,26,102,20.0,1,1,1,1,5,74,75,66,46,56,42,16,13,54,44,33,40,70,38,34,1,73,41,7,67,9,1.0,regular,Phoenix Suns 2022-23,2022-23
2022-23,1610612756,PHX,Phoenix Suns,22200130,2022-11-04T00:00:00,PHX vs. POR,L,48.0,36,83,0.434,14,34,0.412,20,21,0.952,13,26,39,26,17.0,8,4,3,22,24,106,-2.0,1,46,46,46,5,73,73,62,21,32,25,24,44,2,27,72,62,43,67,23,49,20,41,11,61,49,1.0,regular,Phoenix Suns 2022-23,2022-23
2022-23,1610612756,PHX,Phoenix Suns,22200106,2022-11-01T00:00:00,PHX vs. MIN,W,48.0,41,89,0.461,17,43,0.395,17,22,0.773,7,27,34,31,11.0,9,8,4,20,24,116,9.0,1,1,1,1,5,49,43,48,8,5,28,43,36,47,72,69,80,13,17,17,10,37,28,11,34,29,1.0,regular,Phoenix Suns 2022-23,2022-23
2022-23,1610612756,PHX,Phoenix Suns,22200094,2022-10-30T00:00:00,PHX vs. HOU,W,48.0,45,84,0.536,12,40,0.3,22,30,0.733,10,26,36,29,12.0,9,8,1,22,25,124,15.0,1,1,1,1,5,21,70,6,40,10,65,11,9,61,50,72,72,29,26,17,10,4,41,10,19,16,1.0,regular,Phoenix Suns 2022-23,2022-23
2022-23,1610612756,PHX,Phoenix Suns,22200079,2022-10-28T00:00:00,PHX vs. NOP,W,48.0,48,92,0.522,10,33,0.303,18,20,0.9,14,33,47,33,12.0,7,7,1,18,21,124,13.0,1,1,1,1,5,10,31,10,52,36,61,35,49,13,22,33,27,7,26,34,17,4,19,32,19,19,1.0,regular,Phoenix Suns 2022-23,2022-23
2022-23,1610612756,PHX,Phoenix Suns,22200055,2022-10-25T00:00:00,PHX vs. GSW,W,48.0,47,92,0.511,12,29,0.414,28,34,0.824,14,34,48,31,14.0,8,4,7,19,28,134,29.0,1,1,1,1,5,14,31,16,40,60,24,2,4,32,22,26,22,13,38,23,49,73,24,3,1,4,1.0,regular,Phoenix Suns 2022-23,2022-23
2022-23,1610612756,PHX,Phoenix Suns,22200043,2022-10-23T00:00:00,PHX @ LAC,W,48.0,43,93,0.462,15,42,0.357,11,12,0.917,13,36,49,29,13.0,5,3,0,18,18,112,17.0,1,1,1,1,5,28,25,46,16,7,46,74,77,9,27,17,16,29,32,58,61,1,19,56,45,12,1.0,regular,Phoenix Suns 2022-23,2022-23
2022-23,1610612756,PHX,Phoenix Suns,22200027,2022-10-21T00:00:00,PHX @ POR,L,53.0,43,94,0.457,10,27,0.37,15,21,0.714,9,32,41,31,17.0,14,1,5,29,19,111,-2.0,1,46,46,46,1,28,18,51,52,67,39,54,44,66,56,40,53,13,67,1,78,52,77,47,50,49,1.0,regular,Phoenix Suns 2022-23,2022-23
2022-23,1610612756,PHX,Phoenix Suns,22200013,2022-10-19T00:00:00,PHX vs. DAL,W,48.0,40,85,0.471,8,22,0.364,19,22,0.864,8,32,40,25,12.0,4,5,4,29,22,107,2.0,1,1,1,1,5,56,67,38,69,77,44,31,36,21,64,40,58,51,26,67,37,37,77,22,56,43,1.0,regular,Phoenix Suns 2022-23,2022-23
2022-23,1610612756,PHX,Phoenix Suns,42200226,2023-05-11T00:00:00,PHX vs. DEN,L,48.0,38,79,0.481,11,28,0.393,13,20,0.65,2,27,29,20,14.0,3,5,3,22,22,100,-25.0,1,7,7,7,1,9,11,7,3,3,5,9,7,11,11,10,11,9,9,10,6,4,4,2,10,11,1.0,playoffs,Phoenix Suns 2022-23,2022-23
2022-23,1610612756,PHX,Phoenix Suns,42200225,2023-05-09T00:00:00,PHX @ DEN,L,48.0,38,88,0.432,9,27,0.333,17,24,0.708,8,34,42,22,10.0,6,7,6,22,17,102,-16.0,1,7,7,7,1,9,4,10,6,5,7,6,5,10,6,3,4,8,3,5,3,9,4,10,9,9,1.0,playoffs,Phoenix Suns 2022-23,2022-23
2022-23,1610612756,PHX,Phoenix Suns,42200224,2023-05-07T00:00:00,PHX vs. DEN,W,48.0,46,81,0.568,13,29,0.448,24,29,0.828,12,25,37,28,13.0,6,4,2,24,19,129,5.0,1,1,1,1,1,4,10,2,1,2,2,3,3,5,3,11,9,3,7,5,8,3,7,8,2,5,1.0,playoffs,Phoenix Suns 2022-23,2022-23
2022-23,1610612756,PHX,Phoenix Suns,42200223,2023-05-05T00:00:00,PHX vs. DEN,W,48.0,48,95,0.505,9,28,0.321,16,18,0.889,7,34,41,24,9.0,5,6,5,24,21,121,7.0,1,1,1,1,1,3,1,5,6,3,8,7,8,3,8,3,6,6,1,8,4,7,7,4,5,3,1.0,playoffs,Phoenix Suns 2022-23,2022-23
2022-23,1610612756,PHX,Phoenix Suns,42200222,2023-05-01T00:00:00,PHX @ DEN,L,48.0,38,95,0.4,6,31,0.194,5,5,1.0,11,28,39,23,10.0,2,4,6,25,16,87,-10.0,1,7,7,7,1,9,1,11,10,1,11,11,11,1,4,8,7,7,3,11,8,9,9,11,11,8,1.0,playoffs,Phoenix Suns 2022-23,2022-23
2022-23,1610612756,PHX,Phoenix Suns,42200221,2023-04-29T00:00:00,PHX @ DEN,L,48.0,43,84,0.512,7,23,0.304,14,17,0.824,8,30,38,20,16.0,4,5,1,19,19,107,-18.0,1,7,7,7,1,5,7,4,9,9,10,8,9,6,6,6,8,9,10,9,6,1,3,8,8,10,1.0,playoffs,Phoenix Suns 2022-23,2022-23
2022-23,1610612756,PHX,Phoenix Suns,42200175,2023-04-25T00:00:00,PHX vs. LAC,W,48.0,51,94,0.543,13,26,0.5,21,24,0.875,11,32,43,31,9.0,7,4,1,27,21,136,6.0,1,1,1,1,1,1,3,3,1,7,1,4,5,4,4,5,3,1,1,4,8,1,11,4,1,4,1.0,playoffs,Phoenix Suns 2022-23,2022-23
2022-23,1610612756,PHX,Phoenix Suns,42200174,2023-04-22T00:00:00,PHX @ LAC,W,48.0,41,84,0.488,9,22,0.409,21,27,0.778,14,35,49,25,18.0,10,8,5,14,22,112,12.0,1,1,1,1,1,7,7,6,6,10,4,4,4,8,2,2,1,5,11,2,2,7,1,2,6,2,1.0,playoffs,Phoenix Suns 2022-23,2022-23
2022-23,1610612756,PHX,Phoenix Suns,42200173,2023-04-20T00:00:00,PHX @ LAC,W,48.0,42,88,0.477,10,27,0.37,35,46,0.761,15,30,45,20,13.0,12,4,7,18,31,129,5.0,1,1,1,1,1,6,4,8,4,5,6,1,1,9,1,6,2,9,7,1,8,11,2,1,2,5,1.0,playoffs,Phoenix Suns 2022-23,2022-23
2022-23,1610612756,PHX,Phoenix Suns,42200172,2023-04-18T00:00:00,PHX vs. LAC,W,48.0,50,85,0.588,10,24,0.417,13,14,0.929,7,28,35,30,11.0,6,6,4,22,20,123,14.0,1,1,1,1,1,2,6,1,4,8,3,9,10,2,8,8,10,2,6,5,4,5,4,7,4,1,1.0,playoffs,Phoenix Suns 2022-23,2022-23
2022-23,1610612756,PHX,Phoenix Suns,42200171,2023-04-16T00:00:00,PHX vs. LAC,L,48.0,39,82,0.476,6,19,0.316,26,33,0.788,6,36,42,27,10.0,8,9,4,25,21,110,-5.0,1,7,7,7,1,8,9,9,10,11,9,2,2,7,10,1,4,4,3,3,1,5,9,4,7,7,1.0,playoffs,Phoenix Suns 2022-23,2022-23
