PLAYER_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS,season
977,Kobe Bryant,1610612747,LAL,G,35.0,6,6,1.0,3.5,9.83,0.356,0.459,-0.103,2013-14
201980,Danny Green,1610612759,SAS,G-F,27.0,68,68,1.0,4.25,9.82,0.433,0.45,-0.017,2013-14
2549,Chris Kaman,1610612747,LAL,C,32.0,39,39,1.0,3.77,9.82,0.384,0.473,-0.089,2013-14
203487,Michael Carter-Williams,1610612755,PHI,G,22.0,70,70,1.0,4.49,9.8,0.458,0.437,0.021,2013-14
2760,Anderson Varejao,1610612739,CLE,C,31.0,65,65,1.0,4.46,9.78,0.456,0.466,-0.01,2013-14
2594,Kyle Korver,1610612737,ATL,G-F,33.0,70,70,1.0,4.44,9.76,0.455,0.44,0.016,2013-14
202692,Alec Burks,1610612762,UTA,G,22.0,78,78,1.0,4.67,9.72,0.48,0.442,0.039,2013-14
201939,Stephen Curry,1610612744,GSW,G,26.0,77,77,1.0,4.08,9.69,0.421,0.442,-0.021,2013-14
2225,Tony Parker,1610612759,SAS,G,32.0,67,67,1.0,4.43,9.69,0.458,0.436,0.022,2013-14
203114,Khris Middleton,1610612749,MIL,F,22.0,81,81,1.0,4.35,9.68,0.449,0.446,0.003,2013-14
101109,Raymond Felton,1610612752,NYK,G,30.0,65,65,1.0,4.18,9.62,0.435,0.437,-0.002,2013-14
1718,Paul Pierce,1610612751,BKN,F,36.0,74,74,1.0,4.49,9.61,0.467,0.458,0.009,2013-14
2564,Boris Diaw,1610612759,SAS,F,32.0,79,79,1.0,4.33,9.61,0.451,0.461,-0.01,2013-14
2585,Zaza Pachulia,1610612749,MIL,C,30.0,52,52,1.0,5.0,9.56,0.523,0.473,0.05,2013-14
2743,Kris Humphries,1610612738,BOS,C-F,29.0,68,68,1.0,4.24,9.51,0.445,0.463,-0.018,2013-14
203077,Michael Kidd-Gilchrist,1610612766,CHA,F,20.0,61,61,1.0,4.23,9.49,0.446,0.456,-0.01,2013-14
201167,Arron Afflalo,1610612753,ORL,G-F,28.0,73,73,1.0,4.63,9.49,0.488,0.442,0.045,2013-14
2544,LeBron James,1610612748,MIA,F,29.0,77,77,1.0,4.12,9.49,0.434,0.449,-0.015,2013-14
202322,John Wall,1610612764,WAS,G,23.0,81,81,1.0,4.42,9.47,0.467,0.435,0.032,2013-14
2561,David West,1610612754,IND,F,33.0,80,80,1.0,3.93,9.46,0.415,0.463,-0.049,2013-14
202695,Kawhi Leonard,1610612759,SAS,F-G,23.0,66,66,1.0,3.73,9.44,0.395,0.452,-0.057,2013-14
2550,Kirk Hinrich,1610612741,CHI,G,33.0,73,73,1.0,3.99,9.4,0.424,0.438,-0.014,2013-14
201943,Brandon Jennings,1610612765,DET,G,24.0,79,79,1.0,4.29,9.39,0.457,0.432,0.025,2013-14
101108,Chris Paul,1610612746,LAC,G,29.0,62,62,1.0,4.21,9.39,0.448,0.449,-0.001,2013-14
101107,Marvin Williams,1610612762,UTA,F,28.0,66,66,1.0,4.38,9.38,0.467,0.464,0.003,2013-14
202704,Reggie Jackson,1610612760,OKC,G,24.0,80,80,1.0,4.2,9.34,0.45,0.439,0.011,2013-14
203156,Henry Sims,1610612755,PHI,C,24.0,40,40,1.0,4.15,9.3,0.446,0.469,-0.023,2013-14
202340,Avery Bradley,1610612738,BOS,G,23.0,60,60,1.0,4.35,9.3,0.468,0.441,0.027,2013-14
202362,Lance Stephenson,1610612754,IND,G,23.0,78,78,1.0,3.79,9.28,0.409,0.442,-0.033,2013-14
201936,Tyreke Evans,1610612740,NOP,F-G,24.0,72,72,1.0,4.17,9.25,0.45,0.444,0.007,2013-14
203079,Dion Waiters,1610612739,CLE,G,22.0,70,70,1.0,3.96,9.21,0.429,0.44,-0.01,2013-14
101127,Jarrett Jack,1610612739,CLE,G,30.0,80,80,1.0,3.88,9.14,0.424,0.433,-0.009,2013-14
201609,Goran Dragic,1610612756,PHX,G,28.0,76,76,1.0,4.12,9.14,0.45,0.439,0.012,2013-14
200751,Randy Foye,1610612743,DEN,G,30.0,81,81,1.0,4.21,9.14,0.461,0.445,0.016,2013-14
201976,Patrick Beverley,1610612745,HOU,G,25.0,56,56,1.0,4.07,9.13,0.446,0.442,0.004,2013-14
201574,Jason Thompson,1610612758,SAC,F-C,27.0,81,81,1.0,4.31,9.12,0.472,0.475,-0.003,2013-14
203082,Terrence Ross,1610612761,TOR,F,23.0,80,80,1.0,3.95,9.11,0.433,0.445,-0.012,2013-14
202335,Patrick Patterson,1610612761,TOR,F,25.0,64,64,1.0,4.11,9.11,0.451,0.465,-0.014,2013-14
201945,Gerald Henderson,1610612766,CHA,G,26.0,76,76,1.0,3.79,9.08,0.417,0.447,-0.03,2013-14
203504,Trey Burke,1610612762,UTA,G,21.0,70,70,1.0,4.14,9.07,0.457,0.439,0.018,2013-14
2749,Jameer Nelson,1610612753,ORL,G,32.0,68,68,1.0,4.21,9.06,0.464,0.437,0.028,2013-14
203482,Kelly Olynyk,1610612738,BOS,C-F,23.0,70,70,1.0,4.34,9.04,0.48,0.464,0.016,2013-14
202327,Ekpe Udoh,1610612749,MIL,F-C,27.0,41,41,1.0,4.27,9.02,0.473,0.457,0.016,2013-14
202341,James Anderson,1610612755,PHI,G-F,25.0,80,80,1.0,4.21,8.99,0.469,0.444,0.025,2013-14
2581,Steve Blake,1610612744,GSW,G,34.0,55,55,1.0,4.02,8.98,0.447,0.436,0.012,2013-14
979,Jermaine O'Neal,1610612744,GSW,C-F,35.0,43,43,1.0,3.77,8.98,0.42,0.479,-0.059,2013-14
2772,Trevor Ariza,1610612764,WAS,F,28.0,76,76,1.0,4.05,8.97,0.452,0.447,0.005,2013-14
201600,Omer Asik,1610612745,HOU,C,27.0,48,48,1.0,4.06,8.96,0.453,0.478,-0.025,2013-14
200755,JJ Redick,1610612746,LAC,G,30.0,35,35,1.0,4.14,8.94,0.463,0.441,0.022,2013-14
201162,Jared Dudley,1610612746,LAC,F,28.0,73,73,1.0,3.88,8.9,0.435,0.449,-0.014,2013-14
201942,DeMar DeRozan,1610612761,TOR,G,24.0,78,78,1.0,3.88,8.86,0.438,0.446,-0.007,2013-14
201951,Ty Lawson,1610612743,DEN,G,26.0,62,62,1.0,4.23,8.84,0.478,0.438,0.04,2013-14
101123,Gerald Green,1610612756,PHX,G-F,28.0,82,82,1.0,3.66,8.82,0.415,0.443,-0.028,2013-14
200761,Shawne Williams,1610612747,LAL,F,28.0,34,34,1.0,4.12,8.79,0.468,0.456,0.013,2013-14
202330,Gordon Hayward,1610612762,UTA,G-F,24.0,77,77,1.0,3.83,8.78,0.436,0.446,-0.01,2013-14
201952,Jeff Teague,1610612737,ATL,G,26.0,78,78,1.0,3.71,8.71,0.426,0.433,-0.008,2013-14
201954,Darren Collison,1610612746,LAC,G,26.0,80,80,1.0,3.81,8.66,0.44,0.437,0.003,2013-14
202329,Al-Farouq Aminu,1610612740,NOP,F,23.0,80,80,1.0,4.26,8.66,0.492,0.46,0.032,2013-14
203463,Ben McLemore,1610612758,SAC,G,21.0,81,81,1.0,4.27,8.65,0.494,0.446,0.048,2013-14
201596,Mario Chalmers,1610612748,MIA,G,28.0,73,73,1.0,3.81,8.64,0.441,0.439,0.001,2013-14
201168,Tiago Splitter,1610612759,SAS,C,29.0,59,59,1.0,3.61,8.61,0.419,0.472,-0.053,2013-14
201967,Dante Cunningham,1610612750,MIN,F,27.0,81,81,1.0,4.12,8.59,0.48,0.454,0.026,2013-14
2399,Mike Dunleavy,1610612741,CHI,F,33.0,82,82,1.0,3.55,8.59,0.413,0.441,-0.028,2013-14
101142,Ronny Turiaf,1610612750,MIN,C,31.0,31,31,1.0,3.55,8.58,0.414,0.467,-0.054,2013-14
2405,Amar'e Stoudemire,1610612752,NYK,F-C,31.0,64,64,1.0,4.03,8.56,0.471,0.465,0.005,2013-14
101154,Andray Blatche,1610612751,BKN,C-F,27.0,72,72,1.0,4.28,8.56,0.5,0.463,0.037,2013-14
203135,Robert Sacre,1610612747,LAL,C,25.0,64,64,1.0,4.2,8.47,0.496,0.468,0.028,2013-14
200782,P.J. Tucker,1610612756,PHX,F-G,29.0,81,81,1.0,3.72,8.46,0.439,0.452,-0.013,2013-14
200757,Thabo Sefolosha,1610612760,OKC,G,30.0,60,60,1.0,3.57,8.45,0.422,0.449,-0.027,2013-14
2430,Carlos Boozer,1610612741,CHI,F,32.0,76,76,1.0,4.08,8.41,0.485,0.47,0.015,2013-14
2210,Richard Jefferson,1610612762,UTA,F,34.0,82,82,1.0,4.15,8.4,0.493,0.451,0.042,2013-14
203084,Harrison Barnes,1610612744,GSW,F,22.0,77,77,1.0,3.9,8.38,0.465,0.445,0.02,2013-14
203141,Mirza Teletovic,1610612751,BKN,F,28.0,68,68,1.0,3.71,8.35,0.444,0.449,-0.005,2013-14
202970,Gustavo Ayon,1610612737,ATL,F-C,29.0,24,24,1.0,3.83,8.21,0.467,0.466,0.001,2013-14
2548,Dwyane Wade,1610612748,MIA,G,32.0,54,54,1.0,3.48,8.2,0.424,0.445,-0.021,2013-14
1882,Elton Brand,1610612737,ATL,F,35.0,71,71,1.0,3.96,8.18,0.484,0.466,0.017,2013-14
203492,Ray McCallum,1610612758,SAC,G,23.0,38,38,1.0,3.39,8.16,0.416,0.441,-0.025,2013-14
203507,Giannis Antetokounmpo,1610612749,MIL,G-F,19.0,75,75,1.0,3.45,8.16,0.423,0.444,-0.021,2013-14
203486,Mason Plumlee,1610612751,BKN,F-C,24.0,68,68,1.0,3.99,8.13,0.49,0.464,0.026,2013-14
2207,Joe Johnson,1610612751,BKN,G,33.0,78,78,1.0,3.69,8.12,0.455,0.441,0.014,2013-14
1713,Vince Carter,1610612742,DAL,G-F,37.0,81,81,1.0,3.44,8.07,0.427,0.451,-0.024,2013-14
2694,Josh Powell,1610612745,HOU,F,31.0,1,1,1.0,5.0,8.0,0.625,0.489,0.136,2013-14
202694,Marcus Morris Sr.,1610612756,PHX,F,24.0,82,82,1.0,3.73,8.0,0.466,0.442,0.025,2013-14
2755,Kevin Martin,1610612750,MIN,G,31.0,68,68,1.0,3.59,8.0,0.449,0.443,0.006,2013-14
2733,Shaun Livingston,1610612751,BKN,G,28.0,75,75,1.0,3.21,7.97,0.403,0.439,-0.036,2013-14
