comparable_name,team_id,season,n_seasons_lookback,half_life_seasons,team_game_score,DiffPointsPG
DAL 2010-11,1610612742,2010-11,1,2.5,80.32800345609816,4.2
DAL 2010-11,1610612742,2010-11,1,4.0,80.32800345609816,4.2
DAL 2010-11,1610612742,2010-11,2,0.5,80.92717340839576,4.2
DAL 2010-11,1610612742,2010-11,2,1.0,81.32662004326082,4.2
DAL 2010-11,1610612742,2010-11,2,1.5,81.48586406653929,4.2
DAL 2010-11,1610612742,2010-11,2,2.5,81.61959196397683,4.2
DAL 2010-11,1610612742,2010-11,2,4.0,81.69646683307025,4.2
DAL 2010-11,1610612742,2010-11,3,0.5,81.2383565476957,4.2
DAL 2010-11,1610612742,2010-11,3,1.0,82.20310565617996,4.2
DAL 2010-11,1610612742,2010-11,3,1.5,82.65599736342342,4.2
DAL 2010-11,1610612742,2010-11,3,2.5,83.05839764951729,4.2
DAL 2010-11,1610612742,2010-11,3,4.0,83.29648887235746,4.2
DAL 2010-11,1610612742,2010-11,4,0.5,81.32182173533424,4.2
DAL 2010-11,1610612742,2010-11,4,1.0,82.594969461828,4.2
DAL 2010-11,1610612742,2010-11,4,1.5,83.23841344998215,4.2
DAL 2010-11,1610612742,2010-11,4,2.5,83.81230071754602,4.2
DAL 2010-11,1610612742,2010-11,4,4.0,84.14614179584021,4.2
DEN 2010-11,1610612743,2010-11,1,0.5,82.40926370987557,4.8
DEN 2010-11,1610612743,2010-11,1,1.0,82.40926370987557,4.8
DEN 2010-11,1610612743,2010-11,1,1.5,82.40926370987557,4.8
DEN 2010-11,1610612743,2010-11,1,2.5,82.40926370987557,4.8
DEN 2010-11,1610612743,2010-11,1,4.0,82.40926370987557,4.8
DEN 2010-11,1610612743,2010-11,2,0.5,82.05937020357332,4.8
DEN 2010-11,1610612743,2010-11,2,1.0,81.82610786603848,4.8
DEN 2010-11,1610612743,2010-11,2,1.5,81.73311513593086,4.8
DEN 2010-11,1610612743,2010-11,2,2.5,81.65502289725066,4.8
DEN 2010-11,1610612743,2010-11,2,4.0,81.61013076374083,4.8
DEN 2010-11,1610612743,2010-11,3,0.5,81.74140389752534,4.8
DEN 2010-11,1610612743,2010-11,3,1.0,80.8891091035425,4.8
DEN 2010-11,1610612743,2010-11,3,1.5,80.45809668748696,4.8
DEN 2010-11,1610612743,2010-11,3,2.5,80.06111814075015,4.8
DEN 2010-11,1610612743,2010-11,3,4.0,79.82031569975776,4.8
DEN 2010-11,1610612743,2010-11,4,0.5,81.66750995751232,4.8
DEN 2010-11,1610612743,2010-11,4,1.0,80.49333750736706,4.8
DEN 2010-11,1610612743,2010-11,4,1.5,79.82993422334039,4.8
DEN 2010-11,1610612743,2010-11,4,2.5,79.19502382984689,4.8
DEN 2010-11,1610612743,2010-11,4,4.0,78.80412097541083,4.8
DET 2010-11,1610612765,2010-11,1,0.5,57.44923712985792,-3.6
DET 2010-11,1610612765,2010-11,1,1.0,57.44923712985792,-3.6
DET 2010-11,1610612765,2010-11,1,1.5,57.44923712985792,-3.6
DET 2010-11,1610612765,2010-11,1,2.5,57.44923712985792,-3.6
DET 2010-11,1610612765,2010-11,1,4.0,57.44923712985792,-3.6
DET 2010-11,1610612765,2010-11,2,0.5,58.415914704482184,-3.6
DET 2010-11,1610612765,2010-11,2,1.0,59.06036642089836,-3.6
DET 2010-11,1610612765,2010-11,2,1.5,59.3172845550704,-3.6
DET 2010-11,1610612765,2010-11,2,2.5,59.53303596092582,-3.6
DET 2010-11,1610612765,2010-11,2,4.0,59.6570628947195,-3.6
DET 2010-11,1610612765,2010-11,3,0.5,58.44640484961673,-3.6
DET 2010-11,1610612765,2010-11,3,1.0,59.059772325385396,-3.6
DET 2010-11,1610612765,2010-11,3,1.5,59.266165625541284,-3.6
DET 2010-11,1610612765,2010-11,3,2.5,59.41560820458913,-3.6
DET 2010-11,1610612765,2010-11,3,4.0,59.49031712834691,-3.6
DET 2010-11,1610612765,2010-11,4,0.5,58.52182481394417,-3.6
DET 2010-11,1610612765,2010-11,4,1.0,59.43251130814157,-3.6
DET 2010-11,1610612765,2010-11,4,1.5,59.8428556180824,-3.6
DET 2010-11,1610612765,2010-11,4,2.5,60.19727750639837,-3.6
DET 2010-11,1610612765,2010-11,4,4.0,60.40051265053445,-3.6
GSW 2010-11,1610612744,2010-11,1,0.5,68.91918288029396,-2.3
GSW 2010-11,1610612744,2010-11,1,1.0,68.91918288029396,-2.3
GSW 2010-11,1610612744,2010-11,1,1.5,68.91918288029396,-2.3
GSW 2010-11,1610612744,2010-11,1,2.5,68.91918288029396,-2.3
GSW 2010-11,1610612744,2010-11,1,4.0,68.91918288029396,-2.3
GSW 2010-11,1610612744,2010-11,2,0.5,67.41260582811779,-2.3
GSW 2010-11,1610612744,2010-11,2,1.0,66.40822112666699,-2.3
GSW 2010-11,1610612744,2010-11,2,1.5,66.00781154296271,-2.3
GSW 2010-11,1610612744,2010-11,2,2.5,65.67156073341764,-2.3
GSW 2010-11,1610612744,2010-11,2,4.0,65.47826346738974,-2.3
GSW 2010-11,1610612744,2010-11,3,0.5,67.48531922617524,-2.3
GSW 2010-11,1610612744,2010-11,3,1.0,66.76984484961805,-2.3
GSW 2010-11,1610612744,2010-11,3,1.5,66.58185424217365,-2.3
GSW 2010-11,1610612744,2010-11,3,2.5,66.4763726283415,-2.3
GSW 2010-11,1610612744,2010-11,3,4.0,66.43882955995471,-2.3
GSW 2010-11,1610612744,2010-11,4,0.5,67.43364545791675,-2.3
