comparable_name,team_id,season,x_game_score_vs_baseline,WINS,LOSSES,y_actual_diff_points_pg
LAL 2013-14,1610612747,2013-14,0.2553756479294833,27,55,-6.3
MEM 2013-14,1610612763,2013-14,-1.4669455488886598,50,32,1.6
MIA 2013-14,1610612748,2013-14,19.98312147512432,54,28,4.8
MIL 2013-14,1610612749,2013-14,-18.91804247642382,15,67,-8.2
MIN 2013-14,1610612750,2013-14,1.8289583327581767,40,42,2.7
NOP 2013-14,1610612740,2013-14,11.816723934720144,34,48,-2.7
NYK 2013-14,1610612752,2013-14,-9.804498405551143,37,45,-0.8
OKC 2013-14,1610612760,2013-14,15.453027872969031,59,23,6.3
ORL 2013-14,1610612753,2013-14,-31.46213510928314,23,59,-5.4
PHI 2013-14,1610612755,2013-14,-52.177822352315715,19,63,-10.5
PHX 2013-14,1610612756,2013-14,-4.432653276541487,48,34,2.6
POR 2013-14,1610612757,2013-14,13.261408898788844,54,28,4.0
SAC 2013-14,1610612758,2013-14,-22.57511570704814,28,54,-2.9
SAS 2013-14,1610612759,2013-14,26.089812297897822,62,20,7.7
TOR 2013-14,1610612761,2013-14,1.2232032550194702,48,34,3.2
UTA 2013-14,1610612762,2013-14,-23.99545283971017,25,57,-7.2
WAS 2013-14,1610612764,2013-14,-7.371114427904118,44,38,1.3
ATL 2014-15,1610612737,2014-15,7.155194287438292,60,22,5.4
BOS 2014-15,1610612738,2014-15,-2.4132855220760234,40,42,0.2
BKN 2014-15,1610612751,2014-15,-5.0643297882474485,38,44,-2.9
CHA 2014-15,1610612766,2014-15,3.793576611018011,33,49,-3.2
CHI 2014-15,1610612741,2014-15,1.7512506984850802,50,32,3.0
CLE 2014-15,1610612739,2014-15,20.006949092021898,53,29,4.5
DAL 2014-15,1610612742,2014-15,12.620635905032088,50,32,2.9
DEN 2014-15,1610612743,2014-15,8.200468882063205,30,52,-3.5
DET 2014-15,1610612765,2014-15,20.37060859546446,32,50,-1.0
GSW 2014-15,1610612744,2014-15,25.488920273734465,67,15,10.1
HOU 2014-15,1610612745,2014-15,15.004181202793518,56,26,3.4
IND 2014-15,1610612754,2014-15,-5.876145449756052,38,44,0.3
LAC 2014-15,1610612746,2014-15,30.603719385873987,56,26,6.6
LAL 2014-15,1610612747,2014-15,-36.43154133738731,21,61,-6.8
MEM 2014-15,1610612763,2014-15,12.153851146284467,55,27,3.2
MIA 2014-15,1610612748,2014-15,-0.5693423279853249,37,45,-2.6
MIL 2014-15,1610612749,2014-15,-4.95786996067153,41,41,0.4
MIN 2014-15,1610612750,2014-15,-35.151005854930446,16,66,-8.8
NOP 2014-15,1610612740,2014-15,3.8515464535700232,45,37,0.8
NYK 2014-15,1610612752,2014-15,-16.83319865327364,17,65,-9.3
OKC 2014-15,1610612760,2014-15,7.017524041572216,45,37,2.2
ORL 2014-15,1610612753,2014-15,-23.048213956890407,25,57,-5.7
PHI 2014-15,1610612755,2014-15,-53.327070906533066,18,64,-9.0
